Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
78,"43,346","33,485","25,654","10,610","12,512","3,482",561,"1,720","131,393"
79,"40,556","31,337","23,601","10,220","11,732","3,225",377,"1,596","122,675"
80,"37,751","29,413","21,379","9,423","10,848","3,023",391,"1,504","113,750"
81,"35,753","27,389","19,952","8,827","9,910","2,769",330,"1,397","106,340"
82,"33,042","25,585","18,034","8,042","9,151","2,463",305,"1,270","97,910"
83,"29,463","22,691","16,162","7,296","8,310","2,141",223,"1,161","87,455"
84,"26,765","21,403","14,486","6,903","7,315","2,107",206,"1,034","80,231"
85–89,"105,413","81,579","55,218","26,880","27,791","7,612",713,"3,825","309,066"
90–94,"51,644","39,924","25,935","13,677","12,955","3,425",290,"1,900","149,762"
95–99,"14,039","10,684","6,990","3,723","3,460",904,68,484,"40,357"
100 and over,"1,330","1,357",824,473,347,95,7,64,"4,500"
All ages,"7,987,264","6,459,765","5,012,176","1,736,389","2,595,877","528,097","247,281","420,902","24,992,369"
